iter	RMSE
0	2.186318019
1	2.142194109
2	2.102965129
3	2.068907016
4	2.035090559
5	2.007745696
6	1.980396546
7	1.952809767
8	1.930094367
9	1.908443714
10	1.89102231
11	1.872803732
12	1.859250756
13	1.846151372
14	1.832770617
15	1.816096167
16	1.803932535
17	1.791204515
18	1.775515221
19	1.765432012
20	1.755153333
21	1.742190084
22	1.73250979
23	1.724073522
24	1.716577604
25	1.707686077
26	1.698795396
27	1.68860613
28	1.679967369
29	1.673208287
30	1.66824322
31	1.662454798
32	1.653456097
33	1.646969941
34	1.641126877
35	1.63477717
36	1.629675885
37	1.626253008
38	1.62068064
39	1.615719149
40	1.612523795
41	1.608455558
42	1.603381609
43	1.599077663
44	1.595002404
45	1.592112335
46	1.589349531
47	1.586332666
48	1.582579375
49	1.579268375
50	1.576639286
51	1.574399758
52	1.570354879
53	1.567082523
54	1.564422077
55	1.560415454
56	1.558396739
57	1.556591792
58	1.554890824
59	1.551429082
60	1.548294238
61	1.546372478
62	1.543767678
63	1.539674844
64	1.536147251
65	1.534886568
66	1.531336333
67	1.528701398
68	1.526943349
69	1.523513535
70	1.521058807
71	1.518274337
72	1.514591157
73	1.511782654
74	1.508733647
75	1.507473283
76	1.505449043
77	1.502258361
78	1.500512292
79	1.498347109
80	1.497205485
81	1.496117343
82	1.494643236
83	1.493708798
84	1.492160983
85	1.490493279
86	1.489279083
87	1.48785604
88	1.486455364
89	1.485669406
90	1.484769131
91	1.482998882
92	1.481939698
93	1.479275561
94	1.477697147
95	1.476544726
96	1.475081168
97	1.473996673
98	1.472072352
99	1.470810347
100	1.468906879
101	1.468163637
102	1.467133822
103	1.466103251
104	1.465045343
105	1.463839095
106	1.462901935
107	1.461688874
108	1.46096958
109	1.460125126
110	1.459076539
111	1.457392791
112	1.455978019
113	1.455160076
114	1.452916863
115	1.45142654
116	1.450351405
117	1.449278637
118	1.448167703
119	1.44699798
120	1.445637373
121	1.444190942
122	1.443277583
123	1.442372972
124	1.440942714
125	1.439926723
126	1.438585014
127	1.437877046
128	1.436190974
129	1.434483348
130	1.433188729
131	1.432294807
132	1.431194632
133	1.430351747
134	1.428936878
135	1.428055914
136	1.427203199
137	1.426586272
138	1.425662812
139	1.425047985
140	1.423284941
141	1.422749498
142	1.421837158
143	1.420677165
144	1.419051959
145	1.418249749
146	1.417417124
147	1.416516356
148	1.415094896
149	1.414681794
150	1.413766574
151	1.411919157
152	1.410742727
153	1.409414537
154	1.408380536
155	1.407488755
156	1.406468926
157	1.405439512
158	1.404979744
159	1.404470649
160	1.403486677
161	1.402371792
162	1.401626037
163	1.400885527
164	1.399788622
165	1.39885827
166	1.397974296
167	1.397562553
168	1.396813465
169	1.396038817
170	1.395230484
171	1.394337877
172	1.393357148
173	1.391756446
174	1.39105799
175	1.390446193
176	1.389774773
177	1.389433554
178	1.388333076
179	1.387136956
180	1.386359888
181	1.38571962
182	1.385037201
183	1.384189396
184	1.383087394
185	1.382470654
186	1.382142761
187	1.381305693
188	1.38072798
189	1.379631982
190	1.378980318
191	1.377957945
192	1.376939603
193	1.376172313
194	1.374975587
195	1.374592118
196	1.373928178
197	1.373569802
198	1.373193849
199	1.372669864
200	1.371589758
201	1.370439429
202	1.368541589
203	1.367969544
204	1.36706088
205	1.366504683
206	1.366025087
207	1.365222164
208	1.3646645
209	1.363961871
210	1.362733161
211	1.361747425
212	1.360632946
213	1.359915235
214	1.358960119
215	1.357212048
216	1.356792027
217	1.3561263
218	1.355825359
219	1.35509247
220	1.354606082
221	1.354049423
222	1.352979082
223	1.352606816
224	1.352253756
225	1.351814973
226	1.351234933
227	1.350537242
228	1.350142867
229	1.349443374
230	1.348975216
231	1.34858286
232	1.347644274
233	1.34736263
234	1.346677736
235	1.346022128
236	1.345479386
237	1.344967441
238	1.344596973
239	1.343908681
240	1.343369482
241	1.342776801
242	1.342268623
243	1.341943724
244	1.340761257
245	1.340486506
246	1.33993322
247	1.339474489
248	1.338955522
249	1.338521635
250	1.337853327
251	1.337286525
252	1.336550846
253	1.336169992
254	1.335428126
255	1.334228817
256	1.334085748
257	1.333519122
258	1.332811974
259	1.332430825
260	1.331620801
261	1.331325195
262	1.330476622
263	1.329973848
264	1.328936785
265	1.328327366
266	1.32781109
267	1.327126875
268	1.326420706
269	1.325635356
270	1.325325487
271	1.324802098
272	1.324365226
273	1.324195072
274	1.3236402
275	1.322785081
276	1.321133299
277	1.320484427
278	1.319441127
279	1.319068062
280	1.318784354
281	1.318166274
282	1.317631193
283	1.317286608
284	1.316469391
285	1.315582108
286	1.315077779
287	1.314796284
288	1.314256322
289	1.313863837
290	1.313338522
291	1.3128241
292	1.31204569
293	1.311414816
294	1.311163067
295	1.310729898
296	1.30993188
297	1.309729947
298	1.308566506
299	1.308107245
300	1.307729021
301	1.307491533
302	1.307236491
303	1.306974841
304	1.306489013
305	1.306256094
306	1.305522355
307	1.305414498
308	1.30481006
309	1.304345019
310	1.303956938
311	1.303261586
312	1.302568351
313	1.302189102
314	1.301623749
315	1.3013837
316	1.300899887
317	1.300537217
318	1.300125971
319	1.29988439
320	1.299685226
321	1.299043919
322	1.298625735
323	1.298413818
324	1.297559301
325	1.297255664
326	1.29717458
327	1.296814201
328	1.29653987
329	1.296105571
330	1.29581168
331	1.295300956
332	1.294517196
333	1.294026001
334	1.293690138
335	1.292237716
336	1.2919156
337	1.291706284
338	1.291200317
339	1.290645668
340	1.290271844
341	1.289804313
342	1.289171166
343	1.288960046
344	1.28850639
345	1.288118695
346	1.287579398
347	1.287304194
348	1.286854888
349	1.286536703
350	1.285992322
351	1.285763774
352	1.285650616
353	1.285053716
354	1.284658457
355	1.284268285
356	1.283882578
357	1.283686158
358	1.283502779
359	1.283281938
360	1.282800086
361	1.282476273
362	1.282279015
363	1.281902111
364	1.281597188
365	1.281438726
366	1.280154723
367	1.279619449
368	1.279110304
369	1.278551409
370	1.278258161
371	1.277768905
372	1.277112298
373	1.276805199
374	1.276531235
375	1.276063748
376	1.275858152
377	1.275549368
378	1.274787741
379	1.274484254
380	1.274086687
381	1.274003571
382	1.273778067
383	1.27264502
384	1.272008561
385	1.27143084
386	1.271144244
387	1.270779618
388	1.270711486
389	1.269965406
390	1.269652795
391	1.269146635
392	1.268654047
393	1.268243316
394	1.267612852
395	1.267377143
396	1.267206294
397	1.26710288
398	1.266734265
399	1.266531307
400	1.266423516
401	1.266210348
402	1.265734793
403	1.265416529
404	1.265155136
405	1.264462222
406	1.264101108
407	1.263652753
408	1.263378368
409	1.262993991
410	1.262681546
411	1.262149924
412	1.261812707
413	1.261391478
414	1.260986174
415	1.260675251
416	1.26031515
417	1.259693931
418	1.25940493
419	1.258437995
420	1.258150354
421	1.257917202
422	1.257286654
423	1.256972123
424	1.256453705
425	1.256325577
426	1.255885517
427	1.255553353
428	1.255067321
429	1.254918743
430	1.254673801
431	1.254104585
432	1.25384721
433	1.253172484
434	1.252998378
435	1.252686405
436	1.252365093
437	1.251980484
438	1.251486987
439	1.251297928
440	1.251071985
441	1.250729999
442	1.2505603
443	1.250140702
444	1.249897169
445	1.249556977
446	1.249119742
447	1.24859687
448	1.248224179
449	1.247852187
450	1.247701312
451	1.247325938
452	1.246986348
453	1.246498598
454	1.246460286
455	1.246152503
456	1.245867484
457	1.245531326
458	1.245303501
459	1.245060665
460	1.244711835
461	1.244393769
462	1.24424831
463	1.243967631
464	1.243755979
465	1.243490717
466	1.243122059
467	1.242806223
468	1.24263649
469	1.242391853
470	1.242038494
471	1.241936
472	1.241444909
473	1.241238226
474	1.240843661
475	1.240746424
476	1.240485333
477	1.24009225
478	1.239847033
479	1.239399858
480	1.238920896
481	1.238549931
482	1.238294558
483	1.237799315
484	1.237538239
485	1.237332209
486	1.237163656
487	1.236940798
488	1.236683205
489	1.236335401
490	1.236002676
491	1.23575599
492	1.235418972
493	1.235147629
494	1.234986504
495	1.23473388
496	1.234520724
497	1.234221249
498	1.234039582
499	1.233848056
500	1.233463853
501	1.233088885
502	1.233002376
503	1.232543243
504	1.232305408
505	1.232001496
506	1.231725112
507	1.231378865
508	1.231128034
509	1.230968703
510	1.230763257
511	1.230580057
512	1.230165944
513	1.229834629
514	1.229445614
515	1.22890236
516	1.228562099
517	1.228164619
518	1.227725292
519	1.22737839
520	1.227023526
521	1.226672669
522	1.226445221
523	1.226147626
524	1.22564272
525	1.224965534
526	1.224821502
527	1.224621448
528	1.224405435
529	1.224267027
530	1.223739925
531	1.223470981
532	1.22322771
533	1.222829124
534	1.222604021
535	1.222268504
536	1.222038868
537	1.221357032
538	1.221195432
539	1.221018443
540	1.220897515
541	1.220637628
542	1.220457531
543	1.220252505
544	1.219752432
545	1.219472445
546	1.219245256
547	1.21903177
548	1.218699815
549	1.218485848
550	1.218209582
551	1.217960859
552	1.217824631
553	1.217589974
554	1.217356436
555	1.217087727
556	1.216689767
557	1.216505116
558	1.216201546
559	1.216003702
560	1.215395754
561	1.215213415
562	1.215073811
563	1.214678219
564	1.214334143
565	1.214173699
566	1.214012553
567	1.213840288
568	1.213455108
569	1.213279204
570	1.212886774
571	1.21253605
572	1.21238991
573	1.212255982
574	1.211888693
575	1.211587185
576	1.211288351
577	1.211019801
578	1.210866671
579	1.210320485
580	1.210015445
581	1.209739741
582	1.209456006
583	1.209115013
584	1.209046577
585	1.208665639
586	1.208380222
587	1.20818137
588	1.207966456
589	1.207791299
590	1.207532222
591	1.207358702
592	1.207054783
593	1.206877909
594	1.206351689
595	1.206193169
596	1.205861188
597	1.205276178
598	1.204916593
599	1.204621221
600	1.204156443
601	1.203762352
602	1.203564554
603	1.203235878
604	1.202928077
605	1.202569395
606	1.202268565
607	1.202115757
608	1.20189905
609	1.20174153
610	1.201427516
611	1.201202971
612	1.201001667
613	1.200765578
614	1.200471454
615	1.200130543
616	1.199794082
617	1.199559776
618	1.199346048
619	1.199101556
620	1.198822576
621	1.198685819
622	1.198340689
623	1.198200522
624	1.197782604
625	1.197354374
626	1.19705863
627	1.19672451
628	1.196498695
629	1.196307064
630	1.195900841
631	1.195753864
632	1.195569641
633	1.195404304
634	1.195117632
635	1.194896779
636	1.19477693
637	1.194485851
638	1.194132336
639	1.193913049
640	1.193632884
641	1.193343673
642	1.193201999
643	1.192877715
644	1.192712231
645	1.192218665
646	1.192059182
647	1.191843763
648	1.191615324
649	1.191309735
650	1.190948812
651	1.190830262
652	1.190682042
653	1.190475684
654	1.190305074
655	1.189973579
656	1.189753824
657	1.189529594
658	1.189321021
659	1.189078848
660	1.188362732
661	1.188081375
662	1.18778083
663	1.187542343
664	1.187310529
665	1.187047927
666	1.186696381
667	1.186402467
668	1.186203515
669	1.185655978
670	1.18547223
671	1.185235987
672	1.18485851
673	1.184424023
674	1.184005414
675	1.183847354
676	1.18375177
677	1.183467367
678	1.183288524
679	1.183181155
680	1.183012316
681	1.182740348
682	1.18259113
683	1.182339065
684	1.182159632
685	1.182013249
686	1.181504571
687	1.181268864
688	1.181018582
689	1.180742576
690	1.180545666
691	1.180389952
692	1.180117813
693	1.179890846
694	1.17975092
695	1.179547236
696	1.179330697
697	1.179139097
698	1.179057367
699	1.17892588
700	1.178768188
701	1.178615684
702	1.178473444
703	1.178215874
704	1.17778969
705	1.177615307
706	1.177401209
707	1.177156325
708	1.176912935
709	1.176615313
710	1.176429196
711	1.176189803
712	1.176078874
713	1.175946267
714	1.175664667
715	1.175420719
716	1.175055991
717	1.174690877
718	1.174516295
719	1.174068516
720	1.173843678
721	1.173440281
722	1.173259653
723	1.173035691
724	1.172925976
725	1.172788844
726	1.172495319
727	1.172300255
728	1.172145381
729	1.172050916
730	1.171836191
731	1.171563544
732	1.171451696
733	1.171264566
734	1.170843475
735	1.170623042
736	1.170424055
737	1.170273659
738	1.170126249
739	1.169892306
740	1.169818082
741	1.169528982
742	1.169187585
743	1.169125495
744	1.168750648
745	1.168633801
746	1.168383368
747	1.168144549
748	1.167854249
