Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Price,Ma_TP,Ma_QH,Ma_PX
65.0,4.5,6.0,2.0,3.0,3.0,4.0,79.0,769.0,26812.0
80.0,8.0,8.0,5.0,5.0,6.0,6.5,79.0,777.0,27448.0
60.0,4.0,6.0,3.0,3.0,3.0,7.0,33.0,326.0,12031.0
33.0,3.0,2.0,5.0,3.0,4.0,4.48,1.0,8.0,340.0
38.0,4.2,6.0,4.0,3.0,4.0,6.78,79.0,768.0,27073.0
60.0,4.5,6.0,3.0,3.0,3.0,7.0,33.0,326.0,12031.0
78.0,6.0,13.0,5.0,3.0,3.0,9.8,33.0,326.0,12031.0
78.7,4.0,6.0,3.0,3.0,3.0,5.5,79.0,777.0,27436.0
67.5,4.5,6.0,3.0,3.0,3.0,2.18,74.0,723.0,25920.0
72.0,4.0,5.0,2.0,4.0,4.0,6.7,79.0,767.0,27010.0
60.0,4.5,3.0,4.0,4.0,3.0,2.65,1.0,277.0,10021.0
78.0,4.5,6.0,3.0,3.0,3.0,5.8,1.0,20.0,664.0
81.0,8.0,8.0,1.0,1.0,1.0,5.8,79.0,764.0,26899.0
35.0,4.5,6.0,5.0,4.0,3.0,3.5,1.0,268.0,9886.0
62.0,4.5,6.0,4.0,6.0,4.0,6.9,79.0,767.0,27019.0
100.0,15.0,20.0,3.0,3.0,3.0,3.9,80.0,794.0,27700.0
42.0,3.3,5.0,4.0,5.0,4.0,8.8,1.0,9.0,364.0
143.0,5.0,6.0,4.0,4.0,4.0,9.3,79.0,764.0,26897.0
180.0,9.0,40.0,3.0,5.0,4.0,9.7,27.0,261.0,9397.0
75.0,5.0,17.0,5.0,3.0,3.0,8.6,33.0,326.0,12031.0
78.0,6.0,6.0,5.0,3.0,3.0,9.4,33.0,326.0,12031.0
33.0,4.5,2.5,5.0,3.0,4.0,4.15,1.0,4.0,148.0
31.0,4.5,6.0,5.0,3.0,3.0,2.9,1.0,20.0,649.0
56.0,4.8,3.0,6.0,4.0,4.0,5.3,1.0,3.0,94.0
55.0,4.0,5.0,5.0,6.0,5.0,8.3,1.0,268.0,9550.0
50.0,9.0,6.0,2.0,2.0,2.0,3.9,79.0,769.0,27100.0
60.0,4.5,6.0,3.0,3.0,3.0,4.3,1.0,8.0,304.0
100.0,5.0,15.0,3.0,3.0,4.0,3.95,56.0,568.0,22402.0
33.0,4.5,6.0,3.0,1.0,1.0,1.4,1.0,268.0,9565.0
60.0,4.5,2.0,3.0,3.0,3.0,4.7,1.0,20.0,664.0
70.0,4.5,6.0,5.0,5.0,4.0,6.9,1.0,4.0,148.0
40.0,4.5,6.0,5.0,6.0,3.0,6.25,1.0,4.0,145.0
35.0,4.5,6.0,4.0,4.0,3.0,6.25,1.0,5.0,157.0
74.0,4.5,6.0,2.0,4.0,3.0,6.83,79.0,767.0,27010.0
70.0,4.5,6.0,3.0,3.0,3.0,6.8,1.0,4.0,148.0
85.0,4.5,18.0,2.0,4.0,4.0,5.9,74.0,723.0,25891.0
48.0,4.5,2.5,4.0,5.0,3.0,6.4,1.0,4.0,148.0
56.1,4.2,6.0,4.0,4.0,3.0,6.3,79.0,769.0,26812.0
40.0,4.5,6.0,5.0,3.0,3.0,7.48,1.0,8.0,313.0
36.5,3.6,4.0,6.0,3.0,4.0,4.1,1.0,274.0,9892.0
36.0,4.5,6.0,4.0,3.0,3.0,7.49,1.0,4.0,148.0
64.0,4.0,6.0,5.0,4.0,5.0,6.7,79.0,777.0,27445.0
12.0,3.0,3.0,5.0,3.0,4.0,1.8,1.0,6.0,220.0
90.0,4.5,6.0,3.0,3.0,2.0,3.2,80.0,803.0,28012.0
96.0,5.5,6.0,2.0,5.0,5.0,8.5,79.0,777.0,27445.0
56.0,3.85,2.8,4.0,4.0,5.0,8.5,1.0,9.0,355.0
116.8,4.5,6.0,3.0,3.0,2.0,7.3,1.0,21.0,616.0
64.0,4.0,6.0,5.0,6.0,6.0,5.98,79.0,777.0,27448.0
50.0,4.5,6.0,4.0,4.0,4.0,7.0,79.0,767.0,27022.0
70.0,6.6,6.0,3.0,3.0,3.0,9.6,1.0,5.0,167.0
55.0,5.0,3.0,5.0,4.0,5.0,6.8,1.0,9.0,373.0
37.0,4.0,6.0,6.0,3.0,3.0,5.6,1.0,4.0,148.0
45.0,3.5,2.0,4.0,4.0,3.0,4.95,1.0,4.0,148.0
30.0,6.0,2.0,6.0,3.0,4.0,4.6,1.0,4.0,148.0
180.0,9.0,15.0,3.0,3.0,3.0,10.0,27.0,261.0,9397.0
180.0,9.0,6.0,3.0,5.0,6.0,9.7,27.0,261.0,9397.0
46.5,5.0,6.0,3.0,3.0,3.0,2.8,1.0,17.0,520.0
40.0,4.5,6.0,2.0,2.0,2.0,1.38,79.0,786.0,27652.0
120.0,4.5,6.0,5.0,3.0,3.0,8.0,33.0,326.0,12034.0
80.0,4.5,12.0,3.0,4.0,4.0,1.5,80.0,803.0,28018.0
75.0,8.0,3.0,1.0,3.0,1.0,2.35,79.0,784.0,27562.0
120.0,5.0,6.0,5.0,3.0,3.0,10.0,33.0,326.0,12034.0
41.8,4.5,6.0,3.0,3.0,3.0,2.85,48.0,491.0,20206.0
48.6,4.5,6.0,3.0,2.0,2.0,2.95,48.0,491.0,20212.0
56.0,4.5,7.0,3.0,3.0,3.0,4.65,48.0,492.0,20257.0
32.0,4.5,15.0,3.0,3.0,4.0,3.6,48.0,491.0,20224.0
272.0,4.5,6.0,3.0,4.0,5.0,4.5,75.0,737.0,26278.0
114.0,6.0,36.0,5.0,3.0,3.0,8.5,22.0,195.0,6793.0
53.0,4.5,5.0,2.0,4.0,3.0,4.35,79.0,764.0,26881.0
68.0,4.0,13.0,3.0,3.0,3.0,8.5,33.0,326.0,12031.0
40.0,4.25,3.0,5.0,4.0,4.0,6.3,1.0,21.0,616.0
72.0,4.5,10.0,3.0,4.0,4.0,8.35,79.0,785.0,27619.0
40.0,4.5,6.0,1.0,2.0,2.0,2.35,79.0,777.0,27454.0
91.0,5.0,6.0,3.0,3.0,3.0,3.5,1.0,9.0,364.0
45.0,4.0,5.0,5.0,3.0,3.0,4.5,1.0,20.0,673.0
52.0,4.5,8.0,4.0,4.0,3.0,7.2,79.0,769.0,26800.0
34.0,4.5,6.0,4.0,3.0,4.0,2.95,1.0,268.0,9562.0
112.5,5.0,7.5,3.0,5.0,3.0,4.9,48.0,495.0,20305.0
225.0,12.0,6.0,2.0,4.0,3.0,9.0,80.0,803.0,28012.0
34.0,4.25,3.0,3.0,3.0,3.0,2.1,1.0,277.0,10021.0
98.4,4.5,12.0,1.0,3.0,2.0,1.19,79.0,785.0,27637.0
20.0,3.6,15.0,4.0,3.0,3.0,3.6,1.0,6.0,193.0
75.0,5.0,7.5,4.0,3.0,3.0,4.35,38.0,380.0,14803.0
51.0,4.2,12.0,2.0,3.0,4.0,6.0,79.0,769.0,26800.0
35.0,4.5,6.0,3.0,3.0,3.0,5.65,1.0,268.0,9542.0
34.0,8.1,6.0,5.0,4.0,4.0,8.0,1.0,268.0,9565.0
40.0,3.7,4.0,6.0,4.0,4.0,3.25,1.0,274.0,9892.0
120.0,4.5,6.0,2.0,4.0,2.0,7.9,74.0,724.0,25960.0
56.0,4.5,13.0,5.0,3.0,3.0,7.6,33.0,326.0,12034.0
60.0,6.0,5.0,3.0,3.0,2.0,2.95,74.0,725.0,25969.0
60.0,4.5,6.0,4.0,4.0,4.0,6.5,79.0,769.0,26812.0
100.0,4.5,20.0,3.0,4.0,3.0,5.5,74.0,725.0,25975.0
30.0,3.4,4.0,5.0,3.0,4.0,4.1,1.0,274.0,9862.0
135.0,4.5,6.0,3.0,3.0,3.0,7.55,27.0,261.0,9397.0
54.0,4.5,5.0,4.0,4.0,4.0,5.7,79.0,764.0,26898.0
53.0,3.6,5.0,4.0,3.0,4.0,6.5,79.0,766.0,26971.0
30.0,4.5,8.0,2.0,2.0,2.0,3.75,79.0,764.0,26897.0
20.0,4.5,6.0,2.0,2.0,2.0,3.45,79.0,765.0,26929.0
72.0,4.5,6.0,5.0,4.0,4.0,9.5,79.0,764.0,26897.0
160.0,8.0,13.0,2.0,4.0,4.0,4.55,60.0,593.0,22966.0
62.0,4.5,22.0,2.0,3.0,3.0,2.8,74.0,725.0,25969.0
48.0,4.5,4.0,4.0,3.0,4.0,6.2,79.0,764.0,26897.0
30.6,3.0,6.0,3.0,3.0,3.0,6.5,1.0,268.0,9544.0
45.0,4.3,5.0,3.0,3.0,3.0,2.65,1.0,275.0,9937.0
40.0,4.5,4.0,4.0,4.0,3.0,5.6,79.0,764.0,26878.0
24.3,2.38,6.0,3.0,3.0,3.0,7.2,1.0,268.0,9550.0
135.0,9.0,12.0,3.0,3.0,3.0,7.55,27.0,261.0,9397.0
31.0,3.6,3.0,5.0,4.0,3.0,4.55,1.0,4.0,148.0
38.1,8.0,6.0,3.0,3.0,3.0,5.5,1.0,5.0,163.0
35.0,4.5,6.0,5.0,3.0,3.0,2.85,1.0,20.0,649.0
177.0,6.1,6.0,2.0,3.0,4.0,5.46,79.0,784.0,27562.0
100.0,6.0,6.0,2.0,2.0,1.0,2.7,75.0,742.0,26497.0
45.0,4.5,6.0,5.0,4.0,3.0,4.45,1.0,4.0,151.0
58.0,4.5,6.0,3.0,3.0,3.0,6.39,79.0,767.0,27028.0
67.0,4.5,3.0,3.0,3.0,3.0,4.5,1.0,17.0,490.0
60.0,4.5,6.0,4.0,4.0,3.0,4.5,1.0,4.0,148.0
64.0,4.5,6.0,3.0,3.0,3.0,8.3,33.0,326.0,12031.0
90.0,4.5,6.0,3.0,3.0,3.0,3.3,80.0,803.0,28012.0
52.0,4.5,6.0,3.0,4.0,3.0,5.3,79.0,769.0,26812.0
38.0,4.5,3.0,4.0,5.0,4.0,4.35,1.0,268.0,9571.0
41.0,4.5,6.0,4.0,5.0,3.0,3.6,1.0,268.0,9562.0
124.0,4.5,6.0,3.0,4.0,2.0,6.3,48.0,492.0,20257.0
92.5,6.0,6.0,3.0,3.0,4.0,6.95,48.0,490.0,20200.0
94.0,5.7,4.0,3.0,3.0,3.0,4.8,79.0,777.0,27451.0
35.0,4.0,5.0,4.0,4.0,3.0,6.5,1.0,20.0,655.0
35.0,4.5,6.0,4.0,3.0,3.0,2.5,1.0,268.0,10123.0
85.0,6.08,4.0,2.0,3.0,2.0,2.55,48.0,490.0,20195.0
60.0,4.0,13.0,5.0,5.0,5.0,8.6,33.0,326.0,12031.0
71.0,4.5,4.0,2.0,2.0,2.0,4.9,79.0,769.0,26842.0
43.0,3.6,4.0,4.0,2.0,3.0,8.65,1.0,5.0,169.0
64.0,5.0,10.0,4.0,4.0,5.0,8.0,79.0,764.0,26882.0
100.0,4.5,6.0,3.0,3.0,3.0,1.7,80.0,804.0,28054.0
88.6,4.5,6.0,3.0,3.0,4.0,9.5,79.0,764.0,26899.0
40.0,4.0,6.0,3.0,3.0,3.0,7.0,1.0,5.0,166.0
52.0,5.0,6.0,4.0,3.0,3.0,4.2,1.0,17.0,520.0
92.0,5.0,6.0,3.0,4.0,4.0,6.95,48.0,490.0,20200.0
150.0,7.5,5.5,3.0,4.0,4.0,5.0,48.0,490.0,20198.0
62.0,4.3,6.0,5.0,5.0,3.0,8.9,79.0,768.0,27085.0
198.5,9.0,10.0,2.0,4.0,3.0,8.0,75.0,731.0,26011.0
60.0,4.0,8.0,3.0,4.0,5.0,7.45,79.0,769.0,26809.0
56.0,6.0,6.0,4.0,4.0,4.0,7.15,1.0,7.0,268.0
30.0,3.25,6.0,5.0,3.0,4.0,4.25,1.0,268.0,9886.0
108.0,4.5,6.0,3.0,3.0,3.0,7.7,74.0,724.0,25960.0
59.0,5.0,5.0,3.0,9.0,9.0,6.0,79.0,766.0,26974.0
400.0,4.5,6.0,2.0,2.0,3.0,8.0,91.0,911.0,31087.0
58.0,4.0,4.0,3.0,5.0,5.0,6.2,79.0,764.0,26872.0
30.0,3.8,2.0,5.0,3.0,3.0,4.6,1.0,8.0,301.0
40.0,4.5,6.0,1.0,2.0,2.0,1.3,79.0,785.0,27610.0
37.0,4.5,6.0,5.0,3.0,4.0,7.3,1.0,4.0,139.0
75.0,6.0,6.0,5.0,3.0,3.0,10.0,33.0,326.0,12031.0
60.0,4.0,13.0,5.0,7.0,4.0,8.6,33.0,326.0,12031.0
127.0,4.5,6.0,2.0,3.0,2.0,8.45,79.0,777.0,27451.0
48.0,4.0,6.0,3.0,4.0,3.0,5.0,79.0,766.0,27007.0
90.8,6.0,16.0,4.0,5.0,6.0,8.5,56.0,568.0,22399.0
39.0,4.5,50.0,6.0,3.0,4.0,7.5,1.0,7.0,295.0
54.0,4.5,6.0,2.0,3.0,3.0,4.1,79.0,766.0,27007.0
40.0,3.4,6.0,4.0,4.0,5.0,8.15,1.0,5.0,166.0
80.0,4.0,3.5,2.0,2.0,3.0,2.5,48.0,495.0,20306.0
70.0,5.0,11.5,4.0,3.0,3.0,5.6,1.0,250.0,8989.0
75.0,5.0,30.0,2.0,3.0,2.0,1.68,80.0,807.0,28159.0
105.0,6.0,13.0,3.0,3.0,3.0,9.8,33.0,326.0,12031.0
54.0,3.8,4.0,2.0,2.0,2.0,5.65,79.0,767.0,27025.0
36.0,4.0,5.0,3.0,3.0,3.0,3.0,1.0,274.0,9892.0
70.0,5.0,6.0,5.0,7.0,8.0,6.9,79.0,765.0,26929.0
60.0,4.5,6.0,3.0,4.0,4.0,3.7,74.0,725.0,25969.0
60.0,4.0,5.0,3.0,4.0,3.0,5.2,79.0,769.0,26803.0
33.0,3.3,2.0,5.0,3.0,3.0,7.5,1.0,3.0,112.0
33.0,4.5,2.5,5.0,3.0,4.0,3.65,1.0,268.0,9562.0
105.0,7.0,15.0,4.0,6.0,4.0,6.7,35.0,350.0,13429.0
60.0,5.0,7.5,4.0,3.0,3.0,3.16,38.0,380.0,14803.0
83.0,5.0,20.5,4.0,3.0,3.0,6.0,38.0,382.0,16516.0
68.0,4.5,6.0,3.0,4.0,4.0,6.7,79.0,777.0,27463.0
41.5,6.0,6.0,5.0,3.0,3.0,4.9,1.0,21.0,598.0
56.0,4.0,13.0,5.0,7.0,4.0,7.5,33.0,326.0,12034.0
120.0,4.5,26.0,3.0,3.0,3.0,7.54,27.0,261.0,9397.0
123.0,11.0,60.0,3.0,3.0,3.0,5.7,75.0,731.0,26380.0
40.0,4.4,6.0,4.0,3.0,3.0,9.9,1.0,5.0,169.0
78.0,6.0,13.0,5.0,9.0,8.0,9.45,33.0,326.0,12031.0
78.0,6.0,13.0,5.0,8.0,4.0,9.29,33.0,326.0,12031.0
129.5,4.5,6.0,2.0,3.0,3.0,5.1,74.0,725.0,25975.0
33.0,4.0,4.0,5.0,4.0,4.0,5.0,1.0,19.0,634.0
75.0,5.0,8.0,2.0,3.0,2.0,2.25,79.0,785.0,27637.0
45.0,3.5,7.0,4.0,5.0,4.0,4.5,1.0,19.0,628.0
37.0,4.5,6.0,3.0,2.0,3.0,5.5,1.0,9.0,364.0
38.0,4.5,6.0,5.0,4.0,5.0,9.1,79.0,766.0,26971.0
54.0,4.5,5.0,4.0,4.0,5.0,6.2,79.0,766.0,27007.0
35.0,3.5,6.0,5.0,3.0,3.0,5.1,1.0,3.0,106.0
58.0,4.5,6.0,4.0,2.0,3.0,5.6,1.0,7.0,295.0
45.0,4.0,5.0,2.0,3.0,3.0,3.5,1.0,18.0,580.0
173.0,5.0,5.0,3.0,2.0,3.0,2.4,74.0,724.0,25948.0
55.0,4.5,3.5,4.0,5.0,4.0,5.5,1.0,4.0,115.0
75.0,5.0,7.0,5.0,5.0,5.0,8.8,31.0,303.0,11308.0
44.0,3.5,5.0,3.0,4.0,3.0,3.8,79.0,769.0,26821.0
35.0,4.5,6.0,5.0,3.0,3.0,4.7,1.0,268.0,9565.0
90.0,4.5,8.0,1.0,3.0,2.0,2.13,75.0,731.0,26011.0
35.0,4.5,6.0,4.0,4.0,3.0,3.3,1.0,268.0,9568.0
30.0,4.5,6.0,5.0,3.0,3.0,3.88,1.0,9.0,355.0
36.0,4.5,5.0,5.0,4.0,4.0,5.65,1.0,19.0,634.0
38.0,4.5,6.0,6.0,4.0,3.0,6.25,1.0,9.0,343.0
37.0,4.5,3.0,5.0,4.0,4.0,6.5,1.0,6.0,214.0
70.0,4.5,6.0,5.0,5.0,5.0,6.01,79.0,764.0,26881.0
41.0,4.5,2.8,5.0,3.0,4.0,5.7,1.0,4.0,139.0
98.0,6.0,5.0,2.0,3.0,2.0,9.6,1.0,3.0,94.0
60.0,4.0,9.0,3.0,5.0,5.0,7.6,79.0,777.0,27448.0
120.0,4.5,20.0,2.0,3.0,3.0,3.5,60.0,593.0,22966.0
82.5,4.5,6.0,2.0,3.0,2.0,4.8,79.0,786.0,27643.0
40.0,4.2,6.0,5.0,6.0,4.0,4.7,1.0,268.0,9553.0
81.0,4.5,9.0,5.0,5.0,5.0,5.8,27.0,260.0,9328.0
35.0,4.0,4.0,3.0,4.0,3.0,2.4,1.0,277.0,10021.0
157.0,10.0,3.0,4.0,7.0,7.0,10.0,79.0,765.0,26911.0
41.0,4.5,6.0,4.0,4.0,3.0,5.15,1.0,268.0,9565.0
310.0,9.1,6.0,3.0,3.0,3.0,3.8,60.0,593.0,22963.0
66.0,4.1,7.0,4.0,5.0,6.0,6.8,79.0,777.0,27445.0
80.0,5.0,20.0,5.0,3.0,3.0,10.0,33.0,326.0,12031.0
80.0,8.0,6.0,4.0,4.0,3.0,4.8,1.0,20.0,673.0
96.0,8.0,20.0,3.0,5.0,4.0,5.5,8.0,76.0,2545.0
49.1,3.86,50.0,2.0,3.0,2.0,3.5,79.0,769.0,26803.0
60.0,4.5,6.0,3.0,3.0,3.0,10.0,33.0,326.0,12031.0
50.0,4.5,6.0,5.0,3.0,3.0,8.7,1.0,5.0,166.0
85.0,4.5,6.0,3.0,3.0,4.0,4.0,79.0,785.0,27637.0
70.0,7.0,2.5,4.0,4.0,4.0,9.8,1.0,9.0,343.0
111.4,4.5,6.0,4.0,3.0,3.0,6.9,60.0,593.0,22921.0
37.0,4.6,3.5,6.0,4.0,3.0,7.5,1.0,7.0,298.0
160.0,6.0,20.0,2.0,4.0,3.0,4.55,60.0,593.0,22966.0
37.0,3.8,3.0,6.0,3.0,4.0,8.0,1.0,9.0,364.0
90.0,4.5,6.0,3.0,4.0,3.0,3.0,80.0,803.0,28003.0
60.0,4.0,20.0,5.0,6.0,4.0,8.6,33.0,326.0,12031.0
47.0,3.5,6.0,4.0,3.0,3.0,6.45,1.0,268.0,9551.0
36.0,4.5,6.0,5.0,3.0,3.0,6.05,1.0,9.0,370.0
245.0,4.5,12.0,1.0,3.0,3.0,7.6,79.0,769.0,26854.0
38.0,4.5,6.0,5.0,3.0,3.0,4.5,1.0,4.0,148.0
63.0,4.7,3.0,4.0,4.0,3.0,8.6,1.0,21.0,617.0
21.0,4.5,5.0,3.0,2.0,2.0,1.53,79.0,786.0,27643.0
120.0,4.5,56.0,3.0,3.0,3.0,8.6,27.0,261.0,9397.0
32.0,3.0,2.3,5.0,5.0,3.0,3.7,1.0,268.0,9571.0
48.0,4.5,6.0,5.0,3.0,3.0,5.5,33.0,326.0,12034.0
55.0,4.5,6.0,5.0,4.0,4.0,9.29,1.0,4.0,133.0
41.0,4.5,6.0,5.0,3.0,3.0,6.6,1.0,5.0,169.0
41.5,4.0,6.0,4.0,5.0,3.0,7.7,79.0,764.0,26882.0
160.0,8.0,13.0,2.0,3.0,3.0,4.65,60.0,593.0,22966.0
175.0,10.0,9.0,3.0,5.0,3.0,9.1,40.0,412.0,16699.0
30.5,4.0,3.0,4.0,3.0,3.0,2.65,1.0,274.0,9892.0
120.0,5.0,6.0,2.0,3.0,3.0,4.55,48.0,495.0,20260.0
50.0,4.0,6.0,4.0,4.0,3.0,3.7,31.0,303.0,11299.0
60.0,10.0,10.0,3.0,5.0,3.0,9.99,79.0,766.0,26971.0
91.0,4.0,5.0,4.0,4.0,4.0,9.3,79.0,764.0,26898.0
27.0,3.0,3.0,3.0,4.0,2.0,1.99,79.0,786.0,27643.0
32.0,3.5,3.0,4.0,3.0,3.0,3.95,1.0,4.0,115.0
52.0,4.6,6.0,4.0,4.0,4.0,8.6,1.0,21.0,617.0
50.0,4.0,3.0,3.0,3.0,3.0,2.75,31.0,304.0,11359.0
36.0,4.0,3.0,5.0,4.0,4.0,2.8,1.0,20.0,649.0
50.0,5.0,2.0,6.0,4.0,5.0,6.5,1.0,4.0,136.0
70.0,4.5,2.5,5.0,5.0,5.0,10.0,1.0,3.0,109.0
97.3,5.0,6.0,3.0,3.0,3.0,3.49,48.0,490.0,20198.0
90.0,6.0,15.0,5.0,5.0,5.0,8.79,33.0,326.0,12031.0
